id,type,text1,text2,text3,notes
BSC_Brigantine,SHIP,"与 掠夺者-级 一样，这种舰船的起源也经常成为太空佬们的谈资。有人认为，它的存在证明了某个或多个主要势力在向海盗团伙提供舰船；还有人声称，这种舰船的蓝图是在遥远深空中的轨道造船厂残骸里被海盗发现的。总之，无论该舰最初的舰级命名和预期定位为何，如今它被称作 双桅帆船-级，主要在各类星域中活跃的海盗组织旗下服役。

尽管大小与巡洋舰相当，但 双桅帆船-级 的船体规格更符合大型驱逐舰的标准，使其处于体型和战斗力不相匹配的尴尬境地。尽管如此，它仍是贸易商和小型巡逻队在战斗中绝对的噩梦，往往只有改装舰船可用的海盗们也十分乐于用它来升级自己的舰队。",,,
BSC_Buffalo_Mk3,SHIP,"一款由独立贸易商在走投无路之际设计的轻型航母，意图为其护航船队提供某种形式的战机支援。

虽然它仍称不上""军事化""或""武装化""，甚至并未升级装甲，但由于其易被改装而成的特点，该航母已被星域中的大多数势力所采用。",,,
BSC_Aghast,SHIP,"这种纤细的轻型巡洋舰是一种专业的拦截舰，安装在舰体左侧的相位舰船拦截阵列能将相位舰船完全过载数秒之久，令其可以被自身或盟友轻松解决。

然而，该系统只能以相位舰船为目标，在面对常规舰船时，惊骇-级 的火力明显不符其体积和成本。",,,
BSC_Tramp,SHIP,"流浪者-级 只不过是一个装上了引擎和舰桥的货柜，是穷鬼和守财奴的首选。

虽然拥有一定的武装，但一旦遭遇战斗，流浪者-级 最好迅速逃离，而非尝试接近敌人。",,,
BSC_Marauder,SHIP,"这种舰船的起源经常成为太空佬们的谈资。有人认为，它的存在证明了某个或多个主要势力在向海盗团伙提供舰船；还有人声称，这艘舰船的蓝图是在一颗死寂行星上的纳米锻炉残骸中被海盗发现的。总之，无论该舰最初的舰级命名和预期定位为何，如今它被称作 掠夺者-级。

作为一种快速、灵活的轻型驱逐舰，掠夺者-级 常被用于突袭商船及其护航舰队。辅助填弹系统使该舰具有惊人的爆发能力。",,,
BSC_Mudskipper_MK3,SHIP,"卢德左径 的狂热信徒们模仿了海盗对 弹涂鱼-级 的改装，并进行了进一步的改造，为其烙印上了自己的特色。

该舰内置了安全协议超驰和大锤鱼雷发射舱，以便更好地净化异端。",,,
BSC_Adventurer,SHIP,"冒险家-级 是一种主力舰规格的勘探巡洋舰，被设计用于远离文明星域的长期任务，既能独立作业，也能与民用舰队进行协同。

在大崩塌前，由于需求较少，该型舰船的建造数量并不多。但在星域变得更加凶险的当下，冒险家-级 在 非势力团体 的探险家和拾荒者中重新流行起来。尽管在军用主力舰面前处于劣势，但 冒险家-级 仍完全有能力保卫自身及其盟友，并轻松应对星域中的不法分子们普遍持有的那些破烂舰船、改装货船和老化的战舰。",,,
BSC_Nebula_MK2,SHIP,星域里那些贫穷且不受欢迎的群体出品的又一种改装舰船 —— 将普通游轮改造成了一种轻型驱逐舰，即星云 MK.II，并在其船体上额外安装了装甲和武器。尽管如此，它仍然难以对抗任何真正的军用舰船。,,,
BSC_Starliner_MK2,SHIP,"星际线 MK.II-级 是通过普通游轮改装成的临时巡洋舰，往往由海盗或 非势力团体 使用。船体上额外安装了装甲和武器，并将穿梭机停机坪临时改造成了机库。

尽管拥有这些 ""升级""，但面对真正的军用巡洋舰，甚至是某些驱逐舰时，该舰仍将陷入苦战。",,,
BSC_anti_phase,SHIP_SYSTEM,一种专门设计的相位拦截系统，旨在完全过载敌方相位舰并将其拉回正常空间。使用时产生幅能。,进攻,,
BSC_Maraka,SHIP,与同时期人之领的其他大型军用舰船相比，玛拉卡-级 巡洋舰采用了不同的设计思路。与更常见的 统治者-级 相比，玛拉卡-级 更强调速度和追击能力，但仍保留了人之领早期军事理论中标志性的装甲和重型实弹火力，能够抗衡除最大型巡洋舰以外的任何敌舰。,,,
BSC_Tramp_MK2,SHIP,"对一艘已经捉襟见肘到极点的货舰进行的破罐子破摔，流浪者 MK.II-级 的设计灵感来源于对弹涂鱼-级 进行的类似改装。

流浪者 MK.II-级 抛弃了所有的后勤能力来换取一系列武器槽位，虽然获得了火力强大的表象，但它通常缺乏足够的幅能和防御能力来支撑其输出。",,,
BSC_Kingpin,SHIP,"轴心-级 驱逐舰是在大崩塌前夕诞生的人之领晚期舰船设计，其扮演的角色与 执法者-级 类似，但融入了许多船体设计上的改良。它的体型庞大却出奇地灵活，其武备高度专精于能量武器，并拥有充足的导弹。

在大崩塌后，该型驱逐舰主要被 速子科技 用于执行与老旧的 执法者-级 相似的任务。",,,
BSC_Killskipper,SHIP,"弹涂鱼MK2-级 总是被星域内的舰长视作笑话，而 弹屠鱼-级 则完全相反。

无论怂恿海盗的""工程师""们拼凑出如此设计的是毒品还是他们的疯狂，其结果就是各类中高端组件被危险但有效地糅进了 弹涂鱼-级 的船体中。由于其内部系统的安装拥挤而无序，战斗故障和引擎熄火对这艘船来说是家常便饭，但只要它还能正常运转，便称得上是一个可怖的对手。",,,
BSC_Drudge,SHIP,"苦力-级 这款外形圆润的巡洋舰设计于大崩塌前夕，旨在将集中部署的重型能量武器部署在防御良好且机动性强的船体内。

尽管既不具备 狂怒-级 纯粹的速度与攻击性，也没有 极光-级 强悍的防御能力，但 苦力-级 能将所有主要能量武器锁定于同一个目标，并将它们过充以进一步提高火力。",,,
BSC_Bitzer,SHIP,"闪击者-级 是一款轻便快速的巡逻艇，由 猎犬-级 的设计团队专为海关与治安部队打造。其配备的武器足以拦截民用船只和无武装的走私船，并携带有用于防御的支援无人机。

大崩塌后，闪击者-级 (对它的船员来说十分不幸地) 被迫承担了更直接的作战任务，但由于其较小的体型和聊胜于无的战斗力而表现不佳。尽管如此，这种舰船相当廉价，数量众多，并且极易部署。",,,
BSC_Terringzean,SHIP,"特林泽安-级 是一种庞大的战列舰，旨在作为在人之领主力舰队的核心。它比 攻势-级 更大，但小于真正的无畏舰。

这款 ""重型"" 战列舰在正面火力上不及攻势-级，但作为弥补获得了更多样化的实弹和导弹武器，巨大的船体与互锁式装甲带则赋予了它惊人的续航力。尽管 特林泽安-级 的宇宙航速和战斗航速均不理想，但其配备的烈焰驱动器能使其在战斗中迅速重新调整位置。

这款巨型战舰主要由霸主使用，偶尔也会由卢德教会部署。尽管在尺寸和战斗力上略逊于更大的 不败-级，但在任何舰队中，它都是一个令人敬畏的存在。",,,
BSC_Baldric,SHIP,"肩带-级 货舰采用了在 阿特拉斯-级 中使用的集装箱技术，是 巨像-级 的竞争对手。

该舰牺牲了生存性而换取了速度上的提升，因此有较小的机会脱离更慢的 巨像-级 无法脱身的伏击。",,,
BSC_Roamer,SHIP,"漫步者-级 是一款专为民用领域开发的轻型巡洋舰，主要用途是作为护航舰。漫游者-级 在大崩塌前销量不佳，但在大崩塌后，由于海盗袭击频发，人们对它的兴趣迅速增长。

与体型稍大的 历险-级 相比，漫游者-级 虽然在坚固性上稍逊一筹，但拥有更低廉的价格和更快的速度，部署也更加方便。此外，由于其配备的武器类型，漫步者-级 (理论上) 拥有更强的直接作战能力。",,,
BSC_Timberwolf,SHIP,"常被戏称为 ""大块头"" 或 ""肥狼""，森林狼-级 是由一家不太知名的私营造船公司重新设计 野狼-级 船体，进而打造的一款更具威力的突击护卫舰。

森林狼-级 通过大幅升级船体装甲、武器系统、主幅能核心及护盾发生器，试图弥补 野狼-级 在幅能容量和续航能力上的不足。尽管没有 野狼-级 那么常见，有时也被视作 ""穷人的 暴雨-级""，但它的实力绝对不容小觑。",,,
BSC_Bitzer_Drone,SHIP,一种低端点防御无人机，配备有轻型双管机枪，用于击落导弹和压制靠近其母舰的目标。,,,
BSC_Lockout,SHIP,"封锁-级 是专为民用领域设计的护航驱逐舰。在大崩塌前，由于人之领的反海盗巡逻和贸易路线的相对安全，该舰船的销量相对较少。大崩塌后，该舰重新焕发生机，成为了 执法者-级 经济实惠的替代品，并拥有可观的火力和装甲。

该舰配备了罐式高射炮，使其在战斗机和导弹面前有着更强的防御能力，尽管这无法替代正规的点防御系统。",,,
BSC_Hartfell,SHIP,"鹿原-级 是一种性能均衡的战斗护卫舰，拥有独特的外形、良好的生存能力和机动性，以及灵活的武器配置。

该舰最初是为人之领巡逻舰队设计的轻型护卫舰，但 野狼-级 护卫舰的引入使其黯然失色。然而，大崩塌后，鹿原-级 因其仍然可观的战斗力再次受到重用，尤其是在 英仙座联盟 中。",,,
BSC_Sabot_MLMS,WEAPON,一种大型导弹发射系统，能够同时发射 3 枚赛博 SRM 导弹以击垮敌方护盾。这款罕见的武器专为大型主力舰设计，拥有相当可观的弹药储备，但其购买和安装成本却相当高昂。,,,
