name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Brigantine,BSC_Brigantine,Light Cruiser,Pirate,flarelauncher,10,6500,850,8500,9000,450,120,1,70,45,20,16,15,460,OMNI,,150,0.4,0.9,,,50,140,100,100,3,30,9,65000,5,15,420,0.25,16,16,,,,,,,,pirate_bp,,0.5,2,3,,
Aghast,BSC_Aghast,Interdictor Cruiser,Midline,BSC_anti_phase,14,5000,650,6500,6500,320,120,,85,60,35,25,30,550,OMNI,,240,0.4,0.8,,,100,160,80,65,3,33,10,100000,4,12,440,0.25,16,16,,,,,,,,"rare_bp, merc",,0.5,2,3,,
Tramp,BSC_Tramp,Light Freighter,Low Tech,burndrive,2,1200,100,500,1000,90,30,,100,150,70,65,100,210,NONE,,0,0,0,,,5,20,130,25,1,25,9,4500,5,10,240,0.25,2,2,,,,,,,"CIVILIAN, FREIGHTER","base_bp, merc, ind",,0.4,2,2,,
Marauder,BSC_Marauder,Light Destroyer,Pirate,ammofeed,7,4500,350,4700,4600,180,90,,100,80,70,40,40,450,OMNI,,140,0.4,0.9,,,45,100,100,40,2,40,10,28000,5,10,360,0.25,7,7,,,,,,,,pirate_bp,,0.5,2,2,,
Adventurer,BSC_Adventurer,Expedition Leader,Low Tech,fastmissileracks,20,14000,1100,11000,12000,500,260,1,40,12,10,5,4,3000,OMNI,,160,0.4,1,,,450,650,900,400,4,45,8,190000,3,15,720,0.25,28,28,,,,,,,,"rare_bp, merc, ind",,0.5,2,4,,
Nebula MK.II,BSC_Nebula_MK2,Converted Destroyer,Pirate,flarelauncher,9,4500,400,2700,3000,170,65,,50,25,15,15,12,480,FRONT,,150,0.5,1,,,60,200,100,55,2,40,8,22000,4,15,280,0.25,6,6,,,,,,,,"pirate_bp, merc",,0.5,2,3,,
Starliner MK.II,BSC_Starliner_MK2,Converted Cruiser,Pirate,flarelauncher,10,6000,550,4500,4400,180,140,1,45,20,10,10,10,950,FRONT,,150,0.5,1,,,90,600,180,75,3,40,7,65000,3,15,480,0.25,10,10,,,,,,,,"pirate_bp, merc",,0.6,2,3,,
Maraka,BSC_Maraka,Cruiser,Low Tech,burndrive,14,10500,1300,9500,9000,470,160,,60,30,15,13,16,1950,FRONT,,150,0.4,1,,,160,240,120,130,4,30,9,115000,4,12,540,0.25,20,20,,,,,,,,"rare_bp, merc",,0.4,2,3,,
Tramp MK.II,BSC_Tramp_MK2,Converted Freighter,Pirate,burndrive,3,1600,180,1200,1100,110,40,,90,140,60,55,90,210,NONE,,0,0,0,,,8,10,5,5,1,25,9,5000,5,10,240,0.25,4,4,,,,,,,,"pirate_bp, luddic_path",,0.4,2,2,,
Kingpin,BSC_Kingpin,Destroyer,High Tech,microburn,10,4500,550,5400,5800,360,110,,80,75,40,35,60,500,OMNI,,150,0.3,0.7,,,50,80,80,70,3,30,9,48000,5,15,360,0.25,9,9,,,,,,,,"rare_bp, merc, ind",,0.4,2,3,,
Killskipper,BSC_Killskipper,SuP3R Fr1g4te,Pirate,temporalshell,11,2000,200,6000,6250,380,55,,110,170,140,45,90,280,FRONT,,180,0.5,0.7,,,5,15,10,15,1,15,10,35000,6,15,180,0.25,10,10,,,,,,,,pirate_bp,0.3,0.75,2,2,,
Australis,BSC_Australis,Cruiser,High Tech,highenergyfocus,14,5800,700,10500,13000,600,145,,80,90,75,25,50,680,OMNI,,160,0.3,0.7,,,75,130,65,90,3,28,9,90000,4,12,420,0.25,25,25,,,,,,,,"rare_bp, hist2t, merc, ind",,0.7,2,3,,
Bitzer,BSC_Bitzer,Patrol Craft,Low Tech,flarelauncher_fighter,2,1500,200,950,950,80,30,1,190,175,100,60,80,110,NONE,,,,,,,3,10,25,10,0.5,20,9,3500,5,10,180,0.25,2,2,,,,,,,,"base_bp, merc, ind",0.5,0.5,2,2,,
Terringzean,BSC_Terringzean,Heavy Battleship,Low Tech,burndrive,32,30000,2000,25000,22000,800,370,,25,16,12,4,4,6100,FRONT,,80,0.4,1,,,1000,1950,500,600,20,30,7,450000,3,15,720,0.25,50,50,,,,,,,,rare_bp,0.6,0.5,2,4,,
Baldric,BSC_Baldric,Freighter,Low Tech,burndrive,7,4500,230,3000,3000,140,55,,45,25,15,15,15,1250,OMNI,,65,0.4,1,,,40,60,750,130,4,40,8,41000,3,20,480,0.25,6,6,,,,,,,"CIVILIAN, FREIGHTER","base_bp, merc, ind",,0.7,2,4,,
Roamer,BSC_Roamer,Light Cruiser,Low Tech,fastmissileracks,9,7500,950,5250,5250,200,110,,50,20,15,15,9,1250,OMNI,,140,0.4,1,,,60,250,450,140,3,45,8,52500,5,10,540,0.25,10,10,,,,,,,,"base_bp, merc, ind",,0.4,2,3,,
Timberwolf,BSC_Timberwolf,Hunter Frigate,High Tech,displacer,7,1900,350,2500,2500,220,60,,135,115,90,60,110,200,FRONT,,180,0.4,0.7,,,20,30,40,20,1,20,10,18000,10,20,180,0.25,6,6,,,,,,,,"rare_bp, merc, ind", ,0.5,2,2,,
Nit,BSC_Bitzer_Drone,,,,,160,40,200,,50,,,140,200,200,180,200,6,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Lockout,BSC_Lockout,Destroyer,Low Tech,canister_flak,8,5000,625,3500,3000,150,100,,70,45,25,40,25,480,OMNI,,150,0.4,1,,,40,80,150,100,2,35,9,45000,5,12,400,0.25,7,7,,,,,,,,"base_bp, merc, ind",,0.4,2,2,,
Hartfell,BSC_Hartfell,Frigate,Midline,maneuveringjets,5,1950,250,2000,2000,140,55,,135,125,95,55,110,200,OMNI,,150,0.4,0.8,,,15,30,55,25,1,20,10,11500,10,20,260,0.25,5,5,,,,,,,,"midline_bp, merc",,0.5,2,2,,
Cassina,BSC_Cassina,Destroyer Leader,Midline,maneuveringjets,12,6250,800,6750,6500,350,110,,85,55,30,30,40,640,FRONT,,270,0.4,0.8,,,85,150,120,80,2,33,9,70000,5,12,420,0.25,12,12,,,,,,,,"rare_bp, merc",,0.5,2,3,,
Preybird,BSC_Preybird,Light Battlecarrier,Midline,ammofeed,14,6500,700,7000,7000,350,125,2,75,50,30,20,25,650,FRONT,,270,0.4,0.8,,,220,300,80,80,3,33,9,110000,4,12,460,0.25,16,16,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","rare_bp, merc",,0.5,2,3,,
Shalloch,BSC_Shalloch,Destroyer,High Tech,BSC_Energyaaf,12,5200,350,9000,9500,400,110,,95,80,60,40,40,350,FRONT,,240,0.3,0.6,,,60,80,50,40,3,20,9,85000,5,15,300,0.25,15,15,,,,,,,,"rare_bp, merc",0.5,0.5,2,3,,
Carnyx,BSC_Carnyx,Carrier,High Tech,targetingfeed,14,5200,600,7000,6000,300,105,4,45,30,30,20,25,1500,OMNI,,210,0.6,0.8,,,150,275,250,100,4,25,8,105000,4,15,420,0.25,22,22,,,,,,,CARRIER,"rare_bp, merc",,0.6,2,3,,
Gallivanter,BSC_Gallivanter,Recon Support Frigate,High Tech,flarelauncher_active,5,1700,200,2700,2700,180,50,,125,95,85,30,70,200,FRONT,,360,0.6,0.7,,,30,50,50,30,1,30,10,28000,8,10,200,0.25,5,5,,,,,,,,"rare_bp, merc, ind",,0.6,2,3,,
Bitzer (P),BSC_Bitzer_P,Modified Patrol Craft,Pirate,flarelauncher_fighter,2,1500,200,950,950,80,30,,190,175,100,60,80,110,NONE,,,,,,,3,10,25,10,0.5,20,9,3750,5,10,180,0.25,2,2,,,,,,,,pirate_bp,0.5,0.5,2,2,,
