id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
BSC_Bitzer_Drone_wing,BSC_Bitzer_Drone,"drone, low, auto_fighter, no_drop, no_sell, low,  no_bp_drop",0,,1,0,BOX,0,200,,2,SUPPORT,Point Defense,10,2000,,,,,,,,,,,,,
BSC_Talon_Solo_wing,talon_Interceptor,"no_drop, no_sell, low,  no_bp_drop",0,,1,0,V,0,200,600,1,INTERCEPTOR,Dedicated Interceptor,5,500,,,,,,,,,,,,,
BSC_Sturgeon_wing,BSC_Sturgeon_Bomber,"bomber5, bomber, low, rare_bp, merc",2,,5,14,V,4000,1200,300,1,BOMBER,Bomber,18,8000,,,,,,,,,,,,,
BSC_Grifter_Drone_wing,BSC_Grifter_Drone,"drone, low, auto_fighter, no_drop, no_sell, restricted, no_bp_drop",3,,6,0,BOX,0,200,,4,SUPPORT,Point Defense,18,6000,,,,,,,,,,,,,
BSC_Stobo_wing,BSC_Stobo_Standard,"fighter6, fighter, low, rare_bp, hegemony, persean, ind ,merc",2,,8,12,V,4000,500,600,3,FIGHTER,Heavy Fighter,10,10000,,,,,,,,,,,,,
BSC_Blasterdrone_wing,BSC_Blasterdrone_Bomber,"drone, low, auto_fighter, no_drop, no_sell,  no_bp_drop",0,,5,0,BOX,4000,500,600,2,BOMBER,Drone,10,3000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
