name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Sabot MLMS,BSC_Sabot_MLMS,2,,7800,1200,,100,,15,10,26,30,,,KINETIC,0,,0,12,3,0.25,0,0,0,0,,150,50,8,300,,,GUIDED_POOR,"missile13, strike8, rare_bp, remnant, merc",,,,Anti Shield,Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 200,,,TRUE,3
Dual Mining Laser,BSC_Double_Mining_Laser,0,,200,600,60,,,0,80,4,,,,ENERGY,,20,0.25,0.25,,,,,,,2400,,,,,,,PD,"beam0, energy0, pd0",,,,Point Defense,,,,,,,,,,4
Heavy Bomb Bay,BSC_Heavy_Bomb,1,,200,1100,,6000,,150,15,4,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,200,50,25,600,,,STRIKE,"he0, no_sell, no_drop, no_drop_salvage, no_dealer, restricted",,,,Strike,,None,,,,,,,TRUE,5
Mining Blaster,BSC_Fighter_Miningblaster,0,,1000,500,,200,,0,7,,4,0,,HIGH_EXPLOSIVE,300,,0.5,0.2,4,0.2,,,,,,1000,,,,,,"SYSTEM,DO_NOT_CONSERVE","he0, no_sell, no_drop, no_drop_salvage, no_dealer, restricted",,,,General,,,,,Each bolt deals an additional %s damage to armor. This damage is not reduced by armor.,100,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impulse Beam Array,BSC_Impulsebeam,2,17500,25000,1500,1000,,,0,30,,,,,KINETIC,,150,0.5,0.2,,,,,,,5000,,,,,,,"STRIKE, USE_VS_FRIGATES, SYSTEM","beam20, LR, no_sell, no_drop, no_drop_salvage, no_dealer, restricted",,,,Suppression,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BSC_nadirdecospinner,,,5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,
,BSC_nadirdecooverlay,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,
